method,ledger,mean_psnr_gain,std_psnr_gain,ci95_half_width,ci_low,ci_high,better_than_fixed_fraction,n_seeds,n_samples,n_samples_per_seed
parameter_matched_digital_surrogate,new_family_heldout_object_family,0.4598078494814713,0.0592918384979668,0.0367494622372366,0.4230583872442346,0.496557311718708,0.5,10,960,96
phase_only_stack,new_family_heldout_object_family,0.5211364944662015,0.281068123484391,0.1742078277845068,0.3469286666816946,0.6953443222507083,0.5572916666666667,10,960,96
reference_psf_deconvolution,new_family_heldout_object_family,2.5107983652378256,0.1016402216808215,0.0629972620695814,2.4478011031682443,2.573795627307407,1.0,10,960,96
spectral_frontend,new_family_heldout_object_family,0.0807402517549034,0.1079450304269737,0.0669050230161013,0.013835228738802,0.1476452747710047,0.49375,10,960,96
trainable_surrogate_ridge,new_family_heldout_object_family,-0.1386913336526934,0.0816518996625492,0.0506083717297851,-0.1892997053824785,-0.0880829619229082,0.4895833333333333,10,960,96
parameter_matched_digital_surrogate,same_family_heldout_aberration,4.326442390625845,0.09195226039713,0.0569926014557426,4.269449789170102,4.383434992081587,1.0,10,1440,144
phase_only_stack,same_family_heldout_aberration,7.593081912645576,0.3581307612956413,0.221971745549403,7.371110167096173,7.815053658194978,1.0,10,1440,144
reference_psf_deconvolution,same_family_heldout_aberration,2.9014546789908784,0.1164535922782099,0.0721786842883171,2.829275994702561,2.973633363279196,1.0,10,1440,144
spectral_frontend,same_family_heldout_aberration,3.70163412177643,0.1440638728101811,0.089291713458495,3.612342408317935,3.790925835234925,0.99375,10,1440,144
trainable_surrogate_ridge,same_family_heldout_aberration,2.8977719335157346,0.0615426609009513,0.0381445364160216,2.859627397099713,2.9359164699317564,1.0,10,1440,144
